player,percentage_service,games_won_service,games_total_service,matches,year,surface
Ivo Karlovic,91.86%,158,172,12,2006,Clay
Roger Federer,85.38%,222,260,19,2006,Clay
Luis Horna,84.29%,236,280,29,2006,Clay
Rafael Nadal,84.21%,256,304,26,2006,Clay
Nicolas Almagro,84.10%,291,346,33,2006,Clay
Ivan Ljubicic,83.64%,230,275,21,2006,Clay
Daniele Bracciali,83.03%,137,165,13,2006,Clay
Mario Ancic,82.72%,201,243,18,2006,Clay
Agustin Calleri,82.66%,224,271,27,2006,Clay
Radek Stepanek,82.56%,161,195,17,2006,Clay
Max Mirnyi,82.47%,127,154,14,2006,Clay
Jose Acasuso,80.68%,284,352,33,2006,Clay
Richard Gasquet,80.65%,100,124,11,2006,Clay
Nikolay Davydenko,80.00%,312,390,36,2006,Clay
Tommy Haas,79.83%,95,119,11,2006,Clay
Nicolas Massu,79.78%,371,465,41,2006,Clay
Tommy Robredo,79.76%,268,336,29,2006,Clay
Carlos Moya,79.72%,283,355,29,2006,Clay
Tomas Berdych,79.36%,173,218,21,2006,Clay
Novak Djokovic,78.50%,168,214,19,2006,Clay
Fernando Gonzalez,78.23%,194,248,21,2006,Clay
Evgeny Korolev,77.93%,113,145,10,2006,Clay
David Nalbandian,77.53%,207,267,23,2006,Clay
Olivier Rochus,77.27%,119,154,12,2006,Clay
Alexander Waske,77.06%,178,231,19,2006,Clay
Mariano Zabaleta,76.99%,87,113,10,2006,Clay
Jurgen Melzer,76.95%,247,321,30,2006,Clay
Feliciano Lopez,76.72%,145,189,14,2006,Clay
Andrei Pavel,76.47%,143,187,19,2006,Clay
Andy Roddick,75.86%,66,87,11,2006,Clay
Oliver Marach,75.26%,143,190,20,2006,Clay
Paul-Henri Mathieu,75.22%,170,226,21,2006,Clay
James Blake,74.83%,107,143,11,2006,Clay
Stan Wawrinka,74.45%,169,227,20,2006,Clay
Fernando Verdasco,74.17%,247,333,28,2006,Clay
Juan Carlos Ferrero,74.00%,222,300,24,2006,Clay
Nicolas Kiefer,73.86%,130,176,14,2006,Clay
Ruben Ramirez Hidalgo,73.80%,307,416,36,2006,Clay
Jarkko Nieminen,73.78%,166,225,24,2006,Clay
Philipp Kohlschreiber,73.76%,163,221,19,2006,Clay
Florian Mayer,73.60%,145,197,21,2006,Clay
Nicolas Lapentti,73.53%,175,238,21,2006,Clay
Alberto Martin,73.18%,221,302,28,2006,Clay
Potito Starace,73.13%,166,227,21,2006,Clay
Marat Safin,73.08%,95,130,13,2006,Clay
Juan Ignacio Chela,72.97%,216,296,28,2006,Clay
Jiri Novak,72.93%,97,133,12,2006,Clay
Kristof Vliegen,72.92%,105,144,13,2006,Clay
David Ferrer,72.41%,210,290,26,2006,Clay
Martin Vassallo Arguello,72.13%,132,183,15,2006,Clay
Dmitry Tursunov,71.90%,110,153,13,2006,Clay
Juan Monaco,71.84%,250,348,30,2006,Clay
Dominik Hrbaty,71.52%,118,165,12,2006,Clay
Gael Monfils,71.15%,148,208,15,2006,Clay
Andreas Seppi,71.13%,138,194,20,2006,Clay
Gaston Gaudio,70.70%,292,413,34,2006,Clay
Robin Soderling,70.63%,89,126,15,2006,Clay
Marcos Baghdatis,70.33%,64,91,11,2006,Clay
Filippo Volandri,70.18%,320,456,47,2006,Clay
Lukas Dlouhy,70.00%,154,220,18,2006,Clay
Bjorn Phau,69.85%,95,136,13,2006,Clay
Simon Greul,69.83%,81,116,10,2006,Clay
Florent Serra,69.79%,164,235,19,2006,Clay
Flavio Saretta,69.68%,108,155,18,2006,Clay
Guillermo Garcia-Lopez,69.33%,156,225,18,2006,Clay
Albert Portas,69.12%,150,217,19,2006,Clay
Albert Montanes,69.10%,161,233,21,2006,Clay
Juan Antonio Marin,68.90%,113,164,15,2006,Clay
Mikhail Youzhny,68.71%,101,147,13,2006,Clay
Jiri Vanek,68.27%,142,208,18,2006,Clay
Fernando Vicente,67.50%,108,160,14,2006,Clay
Gilles Simon,67.26%,189,281,25,2006,Clay
Boris Pashanski,66.40%,168,253,23,2006,Clay
Marcos Daniel,66.26%,108,163,15,2006,Clay
Juan Martin del Potro,65.93%,89,135,12,2006,Clay
Tomas Zib,65.63%,63,96,11,2006,Clay
Tomas Behrend,65.52%,76,116,10,2006,Clay
Davide Sanguinetti,65.13%,99,152,12,2006,Clay
Alessio Di Mauro,64.18%,129,201,18,2006,Clay
Christophe Rochus,63.95%,110,172,17,2006,Clay
Jan Hernych,61.94%,83,134,10,2006,Clay
Robin Vik,61.18%,104,170,14,2006,Clay
Carlos Berlocq,61.11%,110,180,17,2006,Clay
Stefan Koubek,60.71%,51,84,10,2006,Clay
Guillermo Coria,54.41%,111,204,19,2006,Clay
Rafael Nadal,87.43%,292,334,32,2007,Clay
Radek Stepanek,85.23%,127,149,13,2007,Clay
Victor Hanescu,84.62%,110,130,13,2007,Clay
Roger Federer,83.82%,202,241,19,2007,Clay
