player,percentage_service,games_won_service,games_total_service,matches,surface,percentage_return,games_won_return,games_total_return
Jason Stoltenberg,77.15,"4,146","5,374",440,All,25.86,"1,381","5,341"
Guillermo Canas,76.87,"4,075","5,301",437,All,27.73,"1,484","5,352"
Viktor Troicki,76.78,"4,830","6,291",526,All,23.32,"1,476","6,330"
Sandon Stolle,76.75,"2,040","2,658",212,All,21.59,573,"2,654"
Thomaz Bellucci,76.73,"3,631","4,732",380,All,21.73,"1,039","4,781"
Paul Haarhuis,76.70,"3,969","5,175",428,All,23.41,"1,209","5,164"
Santiago Giraldo,76.70,"2,962","3,862",324,All,20.93,816,"3,899"
Mark Woodforde,76.69,"3,978","5,187",423,All,24.50,"1,263","5,156"
Andrei Pavel,76.68,"4,528","5,905",492,All,24.04,"1,423","5,920"
Richey Reneberg,76.63,"3,590","4,685",389,All,26.00,"1,211","4,657"
Alex Corretja,76.57,"6,536","8,536",698,All,28.61,"2,405","8,407"
Pablo Carreno Busta,76.47,"2,571","3,362",276,All,25.10,844,"3,362"
Jiri Novak,76.44,"5,216","6,824",568,All,27.81,"1,913","6,880"
Gilles Simon,76.43,"7,371","9,644",779,All,26.91,"2,572","9,558"
Julien Benneteau,76.40,"5,305","6,944",563,All,22.00,"1,539","6,996"
Sjeng Schalken,76.35,"4,917","6,440",531,All,25.09,"1,627","6,484"
Andrei Medvedev,76.34,"4,713","6,174",498,All,27.82,"1,732","6,226"
Andreas Seppi,76.27,"6,655","8,726",703,All,23.18,"2,045","8,822"
Magnus Gustafsson,76.24,"4,581","6,009",506,All,30.24,"1,834","6,065"
Jarkko Nieminen,76.16,"6,489","8,520",693,All,24.67,"2,096","8,495"
Nicklas Kulti,76.14,"2,579","3,387",275,All,21.71,745,"3,431"
Albert Ramos-Vinolas,76.13,"3,608","4,739",390,All,22.45,"1,074","4,784"
Potito Starace,76.08,"3,015","3,963",339,All,21.11,844,"3,998"
Dominik Hrbaty,75.99,"5,814","7,651",628,All,25.96,"1,986","7,650"
Arnaud Clement,75.93,"5,824","7,670",615,All,23.49,"1,782","7,585"
Brad Gilbert,75.92,"2,062","2,716",218,All,26.59,713,"2,681"
Sergi Bruguera,75.84,"4,960","6,540",567,All,31.49,"2,032","6,453"
Florian Mayer,75.77,"4,218","5,567",484,All,23.14,"1,305","5,640"
Emilio Sanchez,75.71,"2,519","3,327",281,All,23.96,788,"3,289"
Alexander Volkov,75.68,"3,656","4,831",384,All,25.59,"1,232","4,814"
Adrian Mannarino,75.44,"3,314","4,393",362,All,22.02,973,"4,419"
Jonas Bjorkman,75.40,"6,724","8,918",733,All,26.55,"2,371","8,929"
David Prinosil,75.40,"3,417","4,532",374,All,21.59,973,"4,507"
Nicolas Massu,75.38,"3,958","5,251",450,All,24.59,"1,303","5,298"
Nicolas Lapentti,75.35,"5,196","6,896",557,All,24.05,"1,659","6,898"
Joao Sousa,75.29,"3,066","4,072",330,All,21.67,887,"4,093"
Mariano Zabaleta,75.18,"3,625","4,822",403,All,24.71,"1,202","4,864"
Martin Klizan,75.17,"2,292","3,049",249,All,23.30,714,"3,064"
Guillermo Coria,75.10,"2,866","3,816",323,All,35.26,"1,352","3,834"
Aaron Krickstein,74.81,"2,180","2,914",233,All,28.45,813,"2,858"
